word,log_odds,freq_d,freq_r,total
taylor,0.7000540307629084,12,3,15
whats,0.7000540307629084,12,3,15
seriously,0.7000540307629084,12,3,15
executive,0.7000540307629084,25,7,32
commitment,0.7000540307629084,12,3,15
international,0.7000540307629084,12,3,15
hear,0.684549844226944,31,9,40
justice,0.6845498442269431,15,4,19
protecting,0.6845498442269422,47,14,61
means,0.6740785443596486,18,5,23
prevent,0.6740785443596478,37,11,48
order,0.6665313387242637,21,6,27
women,0.6634964350291099,46,14,60
platforms,0.6608333176096259,24,7,31
nonconsensual,0.6563789672602462,27,8,35
developed,0.6563789672602462,27,8,35
expand,0.6528011459123633,30,9,39
excited,0.6474102972774869,36,11,47
being,0.6453291310736615,79,25,104
safe,0.6374030658012417,57,18,75
reptedlieu,0.620011323089372,17,5,22
call,0.620011323089372,17,5,22
much,0.620011323089372,20,6,26
job,0.620011323089372,20,6,26
approach,0.620011323089372,17,5,22
content,0.620011323089372,74,24,98
talking,0.620011323089372,14,4,18
creating,0.620011323089372,23,7,30
hr,0.620011323089372,20,6,26
grateful,0.620011323089372,23,7,30
holds,0.620011323089372,14,4,18
doesnt,0.620011323089372,17,5,22
safely,0.620011323089372,17,5,22
barriers,0.620011323089372,14,4,18
responsibly,0.620011323089372,26,8,34
committed,0.620011323089372,17,5,22
safety,0.6084505006882965,85,28,113
create,0.6084505006882965,85,28,113
leading,0.6040109817429302,61,20,81
need,0.6002086957931922,199,67,266
tune,0.5940358366861114,37,12,49
accountability,0.5940358366861114,37,12,49
everything,0.5774517086705764,22,7,29
fight,0.5774517086705764,22,7,29
identify,0.5774517086705764,22,7,29
further,0.5774517086705764,22,7,29
off,0.5774517086705764,22,7,29
together,0.5745489490126143,42,14,56
always,0.5712211589199399,19,6,25
letter,0.5712211589199399,39,13,52
grant,0.5712211589199399,19,6,25
individuals,0.5628529092494237,16,5,21
step,0.5628529092494237,50,17,67
poses,0.5628529092494237,33,11,44
regulation,0.5628529092494237,33,11,44
congressional,0.5574909661080376,30,10,40
often,0.5510184516024221,13,4,17
prohibit,0.5510184516024221,13,4,17
innovations,0.5510184516024221,13,4,17
agencies,0.5510184516024204,41,14,55
tools,0.5329999460997428,65,23,88
people,0.5278408632897147,144,52,196
clear,0.5247011432850472,29,10,39
focused,0.5199278645323897,18,6,24
examine,0.5199278645323897,18,6,24
got,0.5199278645323897,18,6,24
pass,0.5199278645323888,56,20,76
kids,0.5117977384491397,34,12,46
deepfakes,0.5081630229528029,168,62,230
see,0.5075333396626815,125,46,171
applaud,0.5022282874329882,15,5,20
move,0.5022282874329882,15,5,20
check,0.5022282874329882,15,5,20
risks,0.4983143881118517,84,31,115
across,0.4974090009970391,68,25,93
why,0.4971131867662182,129,48,177
ais,0.49484818013536547,44,16,60
time,0.49325961745022795,73,27,100
tech,0.48824204545824834,212,80,292
commission,0.4864799304648493,20,7,27
posed,0.4864799304648493,20,7,27
funding,0.4828102015758873,33,12,45
experience,0.4769104794486996,12,4,16
repdonbeyer,0.4769104794486996,12,4,16
vulnerable,0.4769104794486996,12,4,16
example,0.4769104794486996,12,4,16
region,0.4769104794486996,12,4,16
road,0.4769104794486996,12,4,16
public,0.4769104794486987,64,24,88
risk,0.4769104794486978,38,14,52
must,0.4711656954918073,242,93,335
major,0.46586064326211307,17,6,23
left,0.46586064326211307,17,6,23
day,0.46586064326211307,35,13,48
pornography,0.46586064326211307,17,6,23
rapid,0.46586064326211307,17,6,23
small,0.46586064326211307,17,6,23
fighting,0.45966867301419256,22,8,30
tomorrow,0.45966867301419256,22,8,30
bad,0.45966867301419256,22,8,30
against,0.45685968240313723,78,30,108
white,0.4376897662954171,14,5,19
investments,0.4376897662954171,14,5,19
summit,0.4376897662954171,19,7,26
promise,0.4376897662954171,14,5,19
within,0.4376897662954171,14,5,19
consumer,0.4376897662954171,19,7,26
growth,0.4376897662954171,19,7,26
protect,0.4349462803496662,181,72,253
education,0.4221855797594518,63,25,88
systems,0.4221855797594518,63,25,88
many,0.4208826479790364,58,23,81
tool,0.41934062762722135,26,10,36
no,0.41521691044335896,87,35,122
joining,0.4087022294221647,16,6,22
passing,0.4087022294221647,16,6,22
generation,0.4037882146197367,28,11,39
ive,0.4017577570693538,40,16,56
autonomous,0.4017577570693538,81,33,114
response,0.3968677717751632,11,4,15
priorities,0.3968677717751632,11,4,15
called,0.3968677717751632,23,9,32
happening,0.3968677717751632,23,9,32
tackle,0.3968677717751632,11,4,15
push,0.3968677717751632,11,4,15
empower,0.3968677717751632,11,4,15
insight,0.3968677717751632,23,9,32
testing,0.3968677717751632,11,4,15
weve,0.3968677717751632,23,9,32
products,0.3968677717751632,11,4,15
home,0.38639647190786697,18,7,25
bills,0.38639647190786697,18,7,25
conversation,0.3863964719078661,37,15,52
thank,0.3848915807284463,82,34,116
federal,0.38444525177660527,127,53,180
some,0.38362254502514137,44,18,62
led,0.3816002996443739,25,10,35
progress,0.36869689480846723,13,5,18
firstweets,0.36869689480846723,13,5,18
covid,0.36869689480846723,13,5,18
illegal,0.36869689480846723,13,5,18
creators,0.36869689480846723,13,5,18
let,0.36869689480846723,13,5,18
vital,0.36869689480846723,13,5,18
investment,0.36869689480846723,13,5,18
yet,0.36869689480846723,13,5,18
models,0.36869689480846723,13,5,18
current,0.36869689480846723,13,5,18
huge,0.36869689480846723,13,5,18
leaders,0.36869689480846635,55,23,78
comes,0.36869689480846635,41,17,58
safeguards,0.36869689480846635,27,11,38
invest,0.36869689480846546,20,8,28
grow,0.36869689480846546,20,8,28
year,0.3621822137872721,50,21,71
thanks,0.3621822137872721,50,21,71
use,0.3556248132411133,227,98,325
become,0.35430815735636756,22,9,31
live,0.35174733649469214,38,16,54
ethical,0.34807760760572926,15,6,21
presents,0.34807760760572926,15,6,21
yesterday,0.34459934322940544,40,17,57
go,0.34237958649109146,24,10,34
powerful,0.3323292506375921,26,11,37
meet,0.33232925063759033,35,15,50
comprehensive,0.33232925063759033,17,7,24
real,0.32217687917357285,48,21,69
policies,0.3199067306390333,19,8,27
sent,0.3199067306390333,19,8,27
institute,0.3098563947855322,21,9,30
challenge,0.3098563947855322,21,9,30
technology,0.30725561308547444,383,174,557
congratulations,0.3041583736708944,34,15,49
visited,0.30155759197083754,23,10,33
held,0.30155759197083754,23,10,33
vehicles,0.3000683884193691,60,27,87
online,0.29792782392025874,49,22,71
something,0.2945889226547447,12,5,17
everyone,0.2945889226547447,25,11,36
used,0.2945889226547438,103,47,150
right,0.28600517896335287,57,26,83
two,0.2835390864681582,14,6,20
thrilled,0.2835390864681582,14,6,20
transform,0.2835390864681582,14,6,20
think,0.2835390864681582,14,6,20
infrastructure,0.2835390864681582,14,6,20
users,0.2835390864681582,14,6,20
discussion,0.2835390864681582,44,20,64
society,0.2805041827730044,46,21,67
pleased,0.2790847361187785,31,14,45
know,0.27772511660273924,48,22,70
transportation,0.275170836797642,16,7,23
whether,0.275170836797642,16,7,23
potential,0.2712415586577519,126,59,185
computer,0.26861343625148315,18,8,26
privacy,0.26430772454027096,102,48,150
lets,0.26333637915064045,20,9,29
cars,0.26333637915064045,20,9,29
rise,0.26333637915064045,20,9,29
proud,0.2624022361588425,106,50,156
next,0.2553682095014631,49,23,72
before,0.2553682095014622,24,11,35
back,0.2522865429640557,26,12,38
other,0.24963753479247774,57,27,84
ways,0.24733603780419777,30,14,44
made,0.24733603780419777,30,14,44
industry,0.2453178736479611,65,31,96
community,0.23923882757157866,40,19,59
workforce,0.23224579208060803,56,27,83
